"","elementId","type","substitutionGroup","periodType","abstract","nillable","balance","ns"
"2994","ifrs_SharePremium","xbrli:monetaryItemType","xbrli:item","instant",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2995","ifrs_SharePremiumMember","nonnum:domainItemType","xbrli:item","duration","true","true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2996","ifrs_SharebasedPaymentTransactions","xbrli:monetaryItemType","xbrli:item","duration",NA,"true","debit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2997","ifrs_SharesInEntityHeldByEntityOrByItsSubsidiariesOrAssociates","xbrli:sharesItemType","xbrli:item","instant",NA,"true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2998","ifrs_SharesReservedForIssueUnderOptionsAndContractsForSaleOfShares","xbrli:sharesItemType","xbrli:item","instant",NA,"true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2999","ifrs_Ships","xbrli:monetaryItemType","xbrli:item","instant",NA,"true","debit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"3000","ifrs_ShipsMember","nonnum:domainItemType","xbrli:item","duration","true","true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"3001","ifrs_ShorttermBorrowings","xbrli:monetaryItemType","xbrli:item","instant",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"3002","ifrs_ShorttermDepositsClassifiedAsCashEquivalents","xbrli:monetaryItemType","xbrli:item","instant",NA,"true","debit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"3003","ifrs_ShorttermInvestmentsClassifiedAsCashEquivalents","xbrli:monetaryItemType","xbrli:item","instant",NA,"true","debit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"3004","ifrs_ShorttermLegalProceedingsProvision","xbrli:monetaryItemType","xbrli:item","instant",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"3005","ifrs_ShorttermMiscellaneousOtherProvisions","xbrli:monetaryItemType","xbrli:item","instant",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"3006","ifrs_ShorttermOnerousContractsProvision","xbrli:monetaryItemType","xbrli:item","instant",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"3007","ifrs_ShorttermProvisionForDecommissioningRestorationAndRehabilitationCosts","xbrli:monetaryItemType","xbrli:item","instant",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"3008","ifrs_ShorttermRestructuringProvision","xbrli:monetaryItemType","xbrli:item","instant",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"3009","ifrs_ShorttermWarrantyProvision","xbrli:monetaryItemType","xbrli:item","instant",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"3010","ifrs_SignificantInvestmentsInAssociatesAxis","xbrli:stringItemType","xbrldt:dimensionItem","duration","true","true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"3011","ifrs_SignificantInvestmentsInJointlyControlledEntitiesAxis","xbrli:stringItemType","xbrldt:dimensionItem","duration","true","true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"3012","ifrs_SignificantInvestmentsInSubsidiariesAxis","xbrli:stringItemType","xbrldt:dimensionItem","duration","true","true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"3013","ifrs_SignificantTransferBetweenLevel1AndLevel2OfFairValueHierarchy","xbrli:stringItemType","xbrli:item","duration",NA,"true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"3014","ifrs_SocialSecurityContributions","xbrli:monetaryItemType","xbrli:item","duration",NA,"true","debit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"3015","ifrs_StatementOfCashFlowsAbstract","xbrli:stringItemType","xbrli:item","duration","true","true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"3016","ifrs_StatementOfChangesInEquityAbstract","xbrli:stringItemType","xbrli:item","duration","true","true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"3017","ifrs_StatementOfChangesInEquityLineItems","xbrli:stringItemType","xbrli:item","duration","true","true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"3018","ifrs_StatementOfChangesInEquityTable","xbrli:stringItemType","xbrldt:hypercubeItem","duration","true","true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"3019","ifrs_StatementOfChangesInNetAssetsAvailableForBenefitsAbstract","xbrli:stringItemType","xbrli:item","duration","true","true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"3020","ifrs_StatementOfComprehensiveIncomeAbstract","xbrli:stringItemType","xbrli:item","duration","true","true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"3021","ifrs_StatementOfFinancialPositionAbstract","xbrli:stringItemType","xbrli:item","duration","true","true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"3022","ifrs_StatementOfIFRSCompliance","xbrli:stringItemType","xbrli:item","duration",NA,"true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"3023","ifrs_StatementOfIncomeAndRetainedEarningsAbstract","xbrli:stringItemType","xbrli:item","duration","true","true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"3024","ifrs_SubclassificationsOfAssetsLiabilitiesAndEquitiesAbstract","xbrli:stringItemType","xbrli:item","duration","true","true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"3025","ifrs_SubleasePaymentsRecognisedAsExpense","xbrli:monetaryItemType","xbrli:item","duration",NA,"true","debit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"3026","ifrs_SubsequentRecognitionOfDeferredTaxGoodwill","xbrli:monetaryItemType","xbrli:item","duration",NA,"true","debit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"3027","ifrs_SubsidiariesMember","nonnum:domainItemType","xbrli:item","duration","true","true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"3028","ifrs_SummaryOfQuantitativeDataAboutWhatEntityManagesAsCapital","xbrli:stringItemType","xbrli:item","duration",NA,"true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"3029","ifrs_SummaryQuantitativeDataAboutEntitysExposureToRisk","xbrli:stringItemType","xbrli:item","duration",NA,"true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"3030","ifrs_SummaryQuantitativeDataAboutPuttableFinancialInstrumentsClassifiedAsEquityInstruments","xbrli:stringItemType","xbrli:item","duration",NA,"true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"3031","ifrs_SurplusDeficitInPlan","xbrli:monetaryItemType","xbrli:item","duration",NA,"true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"3032","ifrs_TangibleExplorationAndEvaluationAssets","xbrli:monetaryItemType","xbrli:item","instant",NA,"true","debit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"3033","ifrs_TangibleExplorationAndEvaluationAssetsMember","nonnum:domainItemType","xbrli:item","duration","true","true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
