"","elementId","lang","labelRole","labelString","href"
"72","tifrs-ar_ShareOfProfitLossForTheQuarterOfAssociatesAndJointVenturesAccountedForUsingEquityMethodWhoseFinancialStatementsWereAuditedOrReviewedByOtherIndependentAccountants","zh-tw","http://www.xbrl.org/2003/role/label","截至本季止採用其他會計師查核意見(核閱報告)之採用權益法之投資當期認列關聯企業及合資損益之份額","tifrs-ar-2014-03-31.xsd#tifrs-ar_ShareOfProfitLossForTheQuarterOfAssociatesAndJointVenturesAccountedForUsingEquityMethodWhoseFinancialStatementsWereAuditedOrReviewedByOtherIndependentAccountants"
"73","tifrs-ar_ShareOfProfitLossForTheQuarterOfAssociatesAndJointVenturesAccountedForUsingEquityMethodWhoseFinancialStatementsWereAuditedOrReviewedByOtherIndependentAccountants","en","http://www.xbrl.org/2003/role/terseLabel","RIA005","tifrs-ar-2014-03-31.xsd#tifrs-ar_ShareOfProfitLossForTheQuarterOfAssociatesAndJointVenturesAccountedForUsingEquityMethodWhoseFinancialStatementsWereAuditedOrReviewedByOtherIndependentAccountants"
"74","tifrs-ar_ShareOfProfitLossForTheEuarterOfAssociatesAndJointVenturesAccountedForUsingEquityMethodWhoseFinancialStatementsWereAuditedOrReviewedByOtherIndependentAccountants","en","http://www.xbrl.org/2003/role/label","Share of profit (loss) for the quarter of associates and joint ventures accounted for using equity method whose financial statements were audited or reviewed by other independent accountants","tifrs-ar-2014-03-31.xsd#tifrs-ar_ShareOfProfitLossForTheEuarterOfAssociatesAndJointVenturesAccountedForUsingEquityMethodWhoseFinancialStatementsWereAuditedOrReviewedByOtherIndependentAccountants"
"75","tifrs-ar_ShareOfProfitLossForTheEuarterOfAssociatesAndJointVenturesAccountedForUsingEquityMethodWhoseFinancialStatementsWereAuditedOrReviewedByOtherIndependentAccountants","zh-tw","http://www.xbrl.org/2003/role/label","本季採用其他會計師查核意見(核閱報告)之採用權益法之投資當期認列關聯企業及合資損益之份額","tifrs-ar-2014-03-31.xsd#tifrs-ar_ShareOfProfitLossForTheEuarterOfAssociatesAndJointVenturesAccountedForUsingEquityMethodWhoseFinancialStatementsWereAuditedOrReviewedByOtherIndependentAccountants"
"76","tifrs-ar_ShareOfProfitLossForTheEuarterOfAssociatesAndJointVenturesAccountedForUsingEquityMethodWhoseFinancialStatementsWereAuditedOrReviewedByOtherIndependentAccountants","en","http://www.xbrl.org/2003/role/terseLabel","RIA006","tifrs-ar-2014-03-31.xsd#tifrs-ar_ShareOfProfitLossForTheEuarterOfAssociatesAndJointVenturesAccountedForUsingEquityMethodWhoseFinancialStatementsWereAuditedOrReviewedByOtherIndependentAccountants"
"77","tifrs-ar_EndingBalanceOfAssetsOfSubsidiariesWhoseFinancialStatementsWereOnUnauditedOrUnreviewed","en","http://www.xbrl.org/2003/role/label","Ending balance of assets of subsidiaries whose financial statements were on unaudited or unreviewed","tifrs-ar-2014-03-31.xsd#tifrs-ar_EndingBalanceOfAssetsOfSubsidiariesWhoseFinancialStatementsWereOnUnauditedOrUnreviewed"
"78","tifrs-ar_EndingBalanceOfAssetsOfSubsidiariesWhoseFinancialStatementsWereOnUnauditedOrUnreviewed","zh-tw","http://www.xbrl.org/2003/role/label","截至本季止未經會計師查核(核閱)之子公司期末資產總額","tifrs-ar-2014-03-31.xsd#tifrs-ar_EndingBalanceOfAssetsOfSubsidiariesWhoseFinancialStatementsWereOnUnauditedOrUnreviewed"
"79","tifrs-ar_EndingBalanceOfAssetsOfSubsidiariesWhoseFinancialStatementsWereOnUnauditedOrUnreviewed","en","http://www.xbrl.org/2003/role/terseLabel","RIA007","tifrs-ar-2014-03-31.xsd#tifrs-ar_EndingBalanceOfAssetsOfSubsidiariesWhoseFinancialStatementsWereOnUnauditedOrUnreviewed"
"80","tifrs-ar_YearToDateComprehensiveIncomeOfSubsidiariesWhoseFinancialStatementsWereUnauditedOrUnreviewed","en","http://www.xbrl.org/2003/role/label","Year-to-date comprehensive income of subsidiaries whose financial statements were unaudited or unreviewed","tifrs-ar-2014-03-31.xsd#tifrs-ar_YearToDateComprehensiveIncomeOfSubsidiariesWhoseFinancialStatementsWereUnauditedOrUnreviewed"
"81","tifrs-ar_YearToDateComprehensiveIncomeOfSubsidiariesWhoseFinancialStatementsWereUnauditedOrUnreviewed","zh-tw","http://www.xbrl.org/2003/role/label","截至本季止未經會計師查核(核閱)之子公司綜合損益金額","tifrs-ar-2014-03-31.xsd#tifrs-ar_YearToDateComprehensiveIncomeOfSubsidiariesWhoseFinancialStatementsWereUnauditedOrUnreviewed"
